concept,hypernyms,is_anchor_hypernym,sense
lime,"fruit, food",False,calcium_hydroxide.n.01
jeep,vehicle,False,jeep.n.01
spam,food,False,spam.n.01
funnel,"tool, kitchen tool",False,funnel.n.01
basket,container,False,basket.n.01
clasp,"tool, fastener",False,clasp.n.01
jetski,"water vehicle, vehicle",False,
icemaker,"kitchen equipment, electronic device",False,
fan,electronic device,False,fan.n.01
mixer,"kitchen equipment, electronic device",False,sociable.n.01
bird,"vertebrate, bird, animal",True,bird.n.01
flamingo,"bird, animal",False,flamingo.n.01
ladder,tool,False,ladder.n.01
asparagus,"vegetable, plant, food",False,asparagus.n.01
gurney,medical equipment,False,gurney.n.01
grenade,weapon,False,grenade.n.01
shovel,"tool, garden tool",False,shovel.n.01
wire,tool,False,wire.n.01
cart,vehicle,False,cart.n.01
game,"game, activity",True,game.n.01
activity,,True,activity.n.01
scrabble,game,False,scribble.n.02
measuring cup,"kitchen tool, container",False,
bed,furniture,False,bed.n.01
glove,"protective clothing, outerwear, clothing, accessory",False,baseball_glove.n.01
punch,"tool, office supply, drink",False,punch.n.01
noodle,food,False,noodle.n.01
bolt,"tool, fastener",False,thunderbolt.n.01
piglet,"mammal, livestock, animal",False,piglet.n.01
blowfish,"seafood, sea animal, animal",False,blowfish.n.01
tape,"office supply, fastener",False,tape.n.01
faucet,tool,False,faucet.n.01
gum,"food, candy",False,chewing_gum.n.01
calf,"mammal, livestock, animal",False,calf.n.01
platypus,"mammal, animal",False,platypus.n.01
sloth,"mammal, animal",False,sloth.n.01
life jacket,"protective clothing, clothing",False,
food processor,"kitchen equipment, electronic device",False,
vulture,"bird, animal",False,vulture.n.01
french fries,"food, breakfast",False,
ant,"insect, animal",False,ant.n.01
wind chimes,home decor,False,
anteater,"mammal, animal",False,pangolin.n.01
record player,electronic device,False,
tarantula,animal,False,european_wolf_spider.n.01
calamari,"seafood, food",False,squid.n.01
terrarium,"home decor, container",False,terrarium.n.01
vase,"home decor, container",False,vase.n.01
bat,"weapon, mammal, animal",False,bat.n.01
toaster oven,"kitchen equipment, electronic device",False,
dough,food,False,dough.n.01
abacus,home decor,False,abacus.n.01
jellyfish,"seafood, sea animal, animal",False,portuguese_man-of-war.n.01
wafer,food,False,wafer.n.01
water filter,kitchen equipment,False,
puppy,"mammal, animal",False,puppy.n.01
parrot,"bird, animal",False,parrot.n.01
wheel,auto part,False,wheel.n.01
hamburger,"food, breakfast",False,hamburger.n.01
drawer,container,False,drawer.n.01
salad,food,False,salad.n.01
scallion,"vegetable, food",False,leek.n.01
catfish,"seafood, sea animal, food, animal",False,catfish.n.01
bacon,"food, breakfast",False,bacon.n.01
aardvark,"mammal, animal",False,aardvark.n.01
bolo tie,"clothing, accessory",False,
water heater,"electronic device, container",False,
piecrust,food,False,
crank,tool,False,grouch.n.01
ram,"mammal, livestock, animal",False,random-access_memory.n.01
roll,"food, breakfast",False,axial_rotation.n.01
bear,"mammal, animal",False,bear.n.01
cot,furniture,False,fingerstall.n.01
hippopotamus,"mammal, animal",False,hippopotamus.n.01
poodle,"mammal, animal",False,poodle.n.01
ladle,"tool, kitchen tool",False,ladle.n.01
chickpea,"vegetable, food",False,chickpea.n.01
birdcage,"home decor, container",False,birdcage.n.01
christmas tree,home decor,False,
shaker,container,False,shaker.n.01
sarcophagus,container,False,sarcophagus.n.01
boot,"footwear, clothing",False,boot.n.01
donkey,"mammal, livestock, animal",False,donkey.n.01
juicer,"kitchen tool, kitchen equipment, electronic device",False,drinker.n.02
cotton candy,"food, candy",False,
peppermint,"food, candy",False,peppermint.n.01
folder,"school supply, office supply",False,booklet.n.01
slot machine,"game, electronic device",False,
hubcap,auto part,False,hubcap.n.01
gazelle,"mammal, animal",False,gazelle.n.01
crown,"jewelry, headwear, clothing",False,crown.n.01
spacesuit,"protective clothing, clothing",False,spacesuit.n.01
dolphin,"sea animal, mammal, animal",False,dolphinfish.n.02
cleaver,"weapon, tool, kitchen tool",False,cleaver.n.01
sea animal,animal,True,marine_animal.n.01
octopus,"seafood, sea animal, food, animal",False,octopus.n.01
wedding cake,"food, dessert",False,
toast,"food, breakfast",False,toast.n.01
zebra,"mammal, animal",False,zebra.n.01
ginger,"food, condiment",False,ginger.n.01
dessert,"food, dessert",True,dessert.n.01
souffle,"food, dessert",False,souffle.n.01
doily,home decor,False,doily.n.01
lizard,animal,False,lizard.n.01
broccoli,"vegetable, plant, food",False,broccoli.n.01
pinball,"game, electronic device",False,pinball.n.01
barrette,"jewelry, fastener",False,barrette.n.01
rat,"mammal, animal",False,rat.n.01
shoe,"footwear, clothing",False,shoe.n.01
star fruit,"fruit, food",False,
garden tool,tool,True,garden_tool.n.01
washing machine,electronic device,False,
earwig,"insect, animal",False,earwig.n.01
dynamite,weapon,False,dynamite.n.01
lego,toy,False,lego.n.01
parsley,"vegetable, plant, food",False,parsley.n.01
notebook,"school supply, office supply",False,notebook.n.01
lollipop,"food, candy",False,ice_lolly.n.01
goblet,container,False,goblet.n.01
brownie,"food, dessert",False,brownie.n.01
doorknocker,"tool, home decor",False,knocker.n.05
tack,"tool, office supply, fastener",False,tack.n.01
pitcher,container,False,pitcher.n.01
gasket,"fastener, auto part",False,gasket.n.01
jack,tool,False,jack.n.01
blackberry,"fruit, food",False,blackberry.n.01
tape recorder,electronic device,False,
chihuahua,"mammal, animal",False,chihuahua.n.01
locker,container,False,cabinet.n.03
file,"tool, office supply",False,file.n.01
rocket,vehicle,False,rocket.n.01
globe,home decor,False,earth.n.01
badger,"mammal, animal",False,wisconsinite.n.01
hot chocolate,drink,False,
bulldozer,vehicle,False,bulldozer.n.01
fountain pen,"tool, school supply, office supply",False,
candy cane,"food, candy",False,
lamb,"mammal, livestock, food, animal",False,lamb.n.01
parfait,"food, dessert",False,parfait.n.01
burner,kitchen equipment,False,burner.n.01
oatmeal,"food, breakfast",False,oatmeal.n.01
coconut,"fruit, food",False,coconut.n.01
swordfish,"seafood, sea animal, food, animal",False,swordfish.n.01
mustard,"food, condiment",False,mustard.n.01
suitcase,container,False,bag.n.06
reindeer,"mammal, animal",False,caribou.n.01
mitten,"clothing, accessory",False,mitten.n.01
watering can,"tool, garden tool, container",False,
turtle,"sea animal, animal",False,turtleneck.n.01
apple tree,plant,False,
mint,"plant, food",False,batch.n.02
sorbet,"food, dessert",False,water_ice.n.02
locket,jewelry,False,locket.n.01
watch,"jewelry, accessory",False,watch.n.01
rack,furniture,False,rack.n.01
almond,food,False,almond.n.01
duckling,"bird, animal",False,duckling.n.01
cabbage,"vegetable, plant, food",False,cabbage.n.01
tongs,"tool, kitchen tool",False,tongs.n.01
popsicle,"food, dessert",False,ice_lolly.n.01
crab,"seafood, sea animal, food, animal",False,crab.n.01
chessboard,game,False,chessboard.n.01
lock,"tool, fastener",False,lock.n.01
egg,"food, breakfast",False,egg.n.01
eel,"seafood, sea animal, food, animal",False,eel.n.01
hotplate,"kitchen equipment, electronic device",False,hot_plate.n.01
cockroach,"insect, animal",False,cockroach.n.01
nail clippers,"tool, toiletry",False,
bison,"mammal, livestock, animal",False,bison.n.01
doorhandle,tool,False,doorknob.n.01
incubator,electronic device,False,incubator.n.01
hose,"tool, garden tool",False,hosiery.n.01
urn,container,False,urn.n.01
wreath,home decor,False,wreath.n.01
mallet,tool,False,mallet.n.01
switch,tool,False,switch.n.01
revolver,weapon,False,revolver.n.01
curtain,home decor,False,curtain.n.01
ice-cream cone,"food, dessert",False,
tape measure,tool,False,
camper,vehicle,False,camper.n.01
tree,plant,False,tree.n.01
weasel,"mammal, animal",False,weasel.n.01
warthog,"mammal, animal",False,warthog.n.01
bin,container,False,bin.n.01
music box,"toy, electronic device",False,
peeler,"tool, kitchen tool",False,stripper.n.03
grinder,"tool, kitchen tool",False,bomber.n.03
scissors,"weapon, tool, office supply, garden tool",False,scissors.n.01
squirrel,"mammal, animal",False,squirrel.n.01
shopping basket,container,False,
shawl,"outerwear, clothing, accessory",False,shawl.n.01
headlight,auto part,False,headlight.n.01
airboat,"water vehicle, vehicle",False,
step stool,furniture,False,
glasses,accessory,False,spectacles.n.01
cupcake,"food, dessert",False,cupcake.n.01
goose,"livestock, food, bird, animal",False,goose.n.01
knob,tool,False,knob.n.01
cantaloupe,"fruit, food",False,cantaloupe.n.01
tiara,"women's clothing, jewelry, headwear, clothing",False,tiara.n.01
squash,"vegetable, food",False,squash.n.01
grasshopper,"insect, animal",False,grasshopper.n.01
pomegranate,"fruit, food",False,pomegranate.n.01
raccoon,"mammal, animal",False,raccoon.n.01
candle,home decor,False,candle.n.01
car door,auto part,False,
lawnmower,garden tool,False,
eraser,"school supply, office supply",False,eraser.n.01
mongoose,"mammal, animal",False,mongoose.n.01
water bottle,container,False,
horse,"mammal, livestock, animal",False,horse.n.01
peanut butter,"food, condiment, breakfast",False,
cup,container,False,cup.n.01
sprouts,"vegetable, food",False,sprout.n.01
hairbrush,toiletry,False,hairbrush.n.01
wasp,"insect, animal",False,wasp.n.01
barrel,container,False,barrel.n.01
sandal,"footwear, clothing",False,sandal.n.01
polisher,tool,False,buffer.n.05
binder,"school supply, office supply",False,binder.n.01
slipper,"footwear, clothing",False,slipper.n.01
eggbeater,"tool, kitchen tool",False,helicopter.n.01
crowbar,"weapon, tool",False,crowbar.n.01
squeegee,tool,False,squeegee.n.01
grapefruit,"fruit, food",False,grapefruit.n.01
barnacle,"sea animal, animal",False,barnacle.n.01
icepick,"weapon, tool, kitchen tool",False,icepick.n.01
helmet,"protective clothing, headwear",False,helmet.n.01
torpedo,"weapon, water vehicle",False,gunman.n.01
microphone,electronic device,False,microphone.n.01
glue,"school supply, office supply",False,glue.n.01
dryer,electronic device,False,dryer.n.01
mashed potato,food,False,
lunchbox,"school supply, container",False,
chisel,tool,False,chisel.n.01
lasagna,food,False,lasagna.n.01
rose,plant,False,rose.n.01
clipper,"tool, toiletry, garden tool",False,limiter.n.01
squid,"seafood, sea animal, food, animal",False,squid.n.01
cooker,"kitchen equipment, electronic device, container",False,cooker.n.01
potato,"vegetable, food",False,potato.n.01
scone,"food, breakfast",False,scone.n.01
bracelet,"jewelry, clothing, accessory",False,watchband.n.01
balloon,toy,False,balloon.n.01
baklava,"food, dessert",False,baklava.n.01
hearse,vehicle,False,hearse.n.01
jar,container,False,jar.n.01
hinge,tool,False,hinge.n.01
pineapple,"fruit, food",False,pineapple.n.01
yo-yo,"toy, game",False,yo-yo.n.01
cardinal,"bird, animal",False,cardinal.n.01
soldering iron,tool,False,
eclair,"food, dessert",False,eclair.n.01
jukebox,electronic device,False,jukebox.n.01
kettle,"kitchen tool, container",False,kettle.n.01
chipmunk,"mammal, animal",False,chipmunk.n.01
muffin,"food, dessert, breakfast",False,muffin.n.01
gorilla,"mammal, animal",False,gorilla.n.01
valve,tool,False,valve.n.01
jam,"food, condiment, breakfast",False,jam.n.01
breadstick,food,False,breadstick.n.01
fishbowl,container,False,goldfish_bowl.n.01
biscuit,food,False,biscuit.n.01
button,"tool, fastener, accessory",False,button.n.01
chariot,vehicle,False,chariot.n.01
spring roll,food,False,
hedge,plant,False,hedge.n.01
lion,"mammal, animal",False,lion.n.01
puffin,"bird, animal",False,puffin.n.01
pencil,"tool, school supply, office supply",False,pencil.n.01
worm,animal,False,worm.n.01
envelope,office supply,False,envelope.n.01
bush,plant,False,shrub.n.01
chest,"furniture, container",False,thorax.n.02
ivy,plant,False,ivy.n.01
kangaroo,"mammal, animal",False,kangaroo.n.01
coat rack,furniture,False,
robot,toy,False,automaton.n.02
printer,electronic device,False,printer.n.01
guinea pig,"mammal, animal",False,
oyster,"seafood, sea animal, food, animal",False,oyster.n.01
brooch,"jewelry, accessory",False,brooch.n.01
coverall,"protective clothing, outerwear, clothing",False,coverall.n.01
raspberry,"fruit, food",False,raspberry.n.01
airplane,vehicle,False,airplane.n.01
lightbulb,tool,False,light_bulb.n.01
corkscrew,"tool, kitchen tool",False,corkscrew.n.01
blender,"kitchen equipment, electronic device",False,blender.n.01
polar bear,"mammal, animal",False,
drum,musical instrument,False,drum.n.01
bull,"mammal, livestock, animal",False,bull.n.01
crate,container,False,crate.n.01
casserole,food,False,casserole.n.01
hoe,"tool, garden tool",False,hoe.n.01
speedboat,"water vehicle, vehicle",False,speedboat.n.01
ready meal,food,False,
piano,musical instrument,False,piano.n.01
refrigerator,"kitchen equipment, electronic device",False,refrigerator.n.01
hummingbird,"bird, animal",False,hummingbird.n.01
electric chair,electronic device,False,
clothes,clothing,False,apparel.n.01
pocketknife,"weapon, tool",False,pocketknife.n.01
jacket,"outerwear, clothing",False,jacket.n.01
lobster,"seafood, sea animal, food, animal",False,lobster.n.01
lettuce,"vegetable, plant, food",False,boodle.n.01
cobra,animal,False,cobra.n.01
mailbox,container,False,mailbox.n.01
cauliflower,"vegetable, food",False,cauliflower.n.01
shredder,electronic device,False,shredder.n.01
scallop,"seafood, sea animal, food, animal",False,scallop.n.01
train,vehicle,False,train.n.01
eye patch,"medical equipment, clothing, accessory",False,
pigeon,"bird, animal",False,pigeon.n.01
pelican,"bird, animal",False,pelican.n.01
monkey,"mammal, animal",False,monkey.n.01
pitchfork,"weapon, tool, garden tool",False,pitchfork.n.01
pig,"mammal, livestock, food, animal",False,hog.n.03
table,furniture,False,table.n.01
gondola,"water vehicle, vehicle",False,gondola_car.n.01
crepe,"food, dessert, breakfast",False,crepe.n.01
flower,plant,False,flower.n.01
chair,furniture,False,chair.n.01
spatula,"tool, kitchen tool",False,spatula.n.01
brussels sprouts,"vegetable, food",False,
spinach,"vegetable, plant, food",False,spinach.n.01
subway,vehicle,False,metro.n.01
paper bag,container,False,
toothbrush,toiletry,False,toothbrush.n.01
hummus,food,False,hummus.n.01
figurine,home decor,False,figurine.n.01
weed,plant,False,weed.n.01
paper,"school supply, office supply",False,paper.n.01
snack,food,False,bite.n.04
baseball bat,weapon,False,
calzone,food,False,
ferret,"mammal, animal",False,black-footed_ferret.n.01
nightstand,"furniture, container",False,
wheelchair,"vehicle, medical equipment",False,wheelchair.n.01
margarita,drink,False,margarita.n.01
patty,food,False,patty.n.01
okra,"vegetable, food",False,okra.n.01
paintbrush,tool,False,paintbrush.n.01
plunger,tool,False,speculator.n.02
rearview mirror,auto part,False,
corn,"vegetable, plant, food",False,corn.n.01
hyena,"mammal, animal",False,hyena.n.01
seal,"sea animal, mammal, animal",False,sealing_wax.n.01
sewing machine,electronic device,False,
fig,"fruit, food",False,figure.n.01
cookie,"food, dessert",False,cookie.n.01
ketchup,"food, condiment",False,catsup.n.01
meat,food,False,meat.n.01
cockatoo,"bird, animal",False,cockatoo.n.01
top hat,"headwear, clothing, accessory",False,
gopher,"mammal, animal",False,goffer.n.01
dog,"mammal, animal",False,dog.n.01
cape,"outerwear, clothing",False,cape.n.01
belt,"clothing, accessory",False,belt.n.01
taillight,auto part,False,taillight.n.01
orange,"fruit, food",False,orange.n.01
blowgun,weapon,False,blowgun.n.01
remote control,electronic device,False,
pencil sharpener,"tool, school supply, office supply",False,
possum,"mammal, animal",False,opossum.n.02
accordion,musical instrument,False,accordion.n.01
beachball,toy,False,beach_ball.n.01
rooster,"livestock, bird, animal",False,cock.n.04
goat,"mammal, livestock, food, animal",False,goat.n.01
skirt,"women's clothing, clothing",False,skirt.n.01
gumball,"food, candy",False,
thumbtack,"office supply, fastener",False,thumbtack.n.01
avocado,"fruit, food",False,avocado.n.01
clove,food,False,clove.n.01
seaweed,"seafood, plant, food",False,seaweed.n.01
taffy,"food, candy",False,taffy.n.01
turkey,"livestock, food, bird, animal",False,turkey.n.01
stew,food,False,fret.n.01
frog,animal,False,frog.n.01
raft,"water vehicle, vehicle",False,raft.n.01
filing cabinet,"furniture, container",False,
stroller,vehicle,False,saunterer.n.01
palm tree,plant,False,
apple,"fruit, food",False,apple.n.01
pepper mill,kitchen tool,False,
ladybug,"insect, animal",False,ladybug.n.01
kayak,"water vehicle, vehicle",False,kayak.n.01
fur coat,"outerwear, clothing",False,
kebab,food,False,kabob.n.01
honeypot,container,False,honeypot.n.01
tamale,food,False,tamale.n.01
rollerskate,footwear,False,
sauerkraut,food,False,sauerkraut.n.01
sheep,"mammal, livestock, animal",False,sheep.n.01
beetle,"insect, animal",False,beetle.n.01
goldfish,animal,False,goldfish.n.01
seagull,"bird, animal",False,gull.n.02
coil,tool,False,coil.n.01
sundae,"food, dessert",False,ice-cream_sundae.n.01
enchilada,food,False,enchilada.n.01
checkers,game,False,checkers.n.01
cannon,weapon,False,cannon.n.01
quill,tool,False,quill.n.01
giraffe,"mammal, animal",False,giraffe.n.01
sock,"footwear, clothing",False,sock.n.01
microwave,"kitchen equipment, electronic device",False,microwave.n.01
pedal,auto part,False,pedal_point.n.01
llama,"mammal, animal",False,llama.n.01
mold,container,False,cast.n.03
polygraph,electronic device,False,polygraph.n.01
beet,"vegetable, food",False,beet.n.01
raisin,"fruit, food",False,raisin.n.01
string cheese,food,False,
submarine,"water vehicle, vehicle",False,submarine.n.01
ball,toy,False,ball.n.01
stockings,"women's clothing, footwear, clothing",False,stocking.n.01
timer,kitchen tool,False,timer.n.01
flamethrower,weapon,False,flamethrower.n.01
air mattress,furniture,False,
kiwi,"fruit, food",False,chinese_gooseberry.n.01
jackhammer,"tool, electronic device",False,air_hammer.n.01
cannonball,weapon,False,cannonball.n.01
ambulance,vehicle,False,ambulance.n.01
trumpet,musical instrument,False,cornet.n.01
batter,food,False,batter.n.01
penlight,"tool, medical equipment",False,penlight.n.01
raincoat,"protective clothing, outerwear, clothing",False,raincoat.n.01
pudding,"food, dessert",False,pudding.n.01
sandbag,container,False,sandbag.n.01
scarecrow,home decor,False,scarecrow.n.01
nutcracker,"tool, kitchen tool",False,nutcracker.n.01
rabbit,"mammal, livestock, food, animal",False,rabbit.n.01
hairpin,"jewelry, fastener",False,hairpin.n.01
sickle,"tool, garden tool",False,sickle.n.01
modem,electronic device,False,modem.n.01
curry,food,False,curry.n.01
grain,food,False,grain.n.01
pistachio,food,False,pistachio.n.01
pliers,tool,False,pliers.n.01
donut,"food, dessert, breakfast",False,doughnut.n.02
poppy,"plant, food",False,poppy.n.01
insole,accessory,False,insole.n.01
sardine,"seafood, sea animal, food, animal",False,sardine.n.01
cheetah,"mammal, animal",False,cheetah.n.01
bedpan,"medical equipment, container",False,bedpan.n.01
pug,"mammal, animal",False,pug.n.01
costume,clothing,False,costume.n.01
gear,tool,False,gear.n.01
engine,auto part,False,engine.n.01
coyote,"mammal, animal",False,coyote.n.01
book,school supply,False,book.n.01
toad,animal,False,frog.n.01
ink,"school supply, office supply",False,ink.n.01
caterpillar,"insect, animal",False,caterpillar.n.01
gravy,"food, condiment",False,gravy.n.01
coral,"sea animal, animal",False,coral.n.01
quiche,food,False,quiche.n.01
axe,"weapon, tool, garden tool",False,ax.n.01
grits,"food, breakfast",False,grits.n.01
cocktail,drink,False,cocktail.n.01
pogo stick,toy,False,
shortbread,"food, dessert",False,shortbread.n.01
brass knuckles,weapon,False,
screw,"tool, fastener",False,prison_guard.n.01
pizza,food,False,pizza.n.01
cougar,"mammal, animal",False,cougar.n.01
rubber band,"office supply, fastener",False,
sled,vehicle,False,sled.n.01
bracket,tool,False,bracket.n.01
jumpsuit,"outerwear, clothing",False,jump_suit.n.01
rolling pin,"tool, kitchen tool",False,
banana split,"food, dessert",False,
peacock,"bird, animal",False,peacock.n.01
flan,"food, dessert",False,flan.n.01
