premise,premise-sense,conclusion,similarity
sea animal,marine_animal.n.01,jam,0.44778183102607727
clothing,clothing.n.01,clover,0.49796971678733826
tool,tool.n.01,thumbtack,0.5944156646728516
animal,animal.n.01,lemonade,0.4707835912704468
tool,tool.n.01,pickle,0.6012919545173645
furniture,furniture.n.01,abacus,0.7115377187728882
auto part,auto_part.n.01,zebra,0.39958447217941284
animal,animal.n.01,pepper,0.6223146319389343
tool,tool.n.01,wheelbarrow,0.6080201864242554
office supply,office_supply.n.00,calf,0.5374727249145508
water vehicle,vessel.n.02,bus,0.669593334197998
clothing,clothing.n.01,envelope,0.7827943563461304
container,container.n.01,duckling,0.4174942970275879
food,food.n.01,wasp,0.5122145414352417
food,food.n.01,koala,0.5969547629356384
kitchen tool,kitchen_utensil.n.01,dynamite,0.43064630031585693
accessory,accessory.n.01,kaleidoscope,0.7353523969650269
animal,animal.n.01,jacket,0.4323682487010956
mammal,mammal.n.01,tea,0.44000473618507385
fastener,fastener.n.01,maple syrup,0.5078753232955933
clothing,clothing.n.01,tea,0.5050638914108276
food,food.n.01,whip,0.4951033294200897
outerwear,outerwear.n.01,mirror,0.39255744218826294
breakfast,breakfast.n.00,stool,0.5662353038787842
food,food.n.01,letter opener,0.5968880653381348
game,game.n.01,bolt,0.6693260073661804
furniture,furniture.n.01,bassoon,0.4464082419872284
home decor,interior_decoration.n.01,robe,0.5896352529525757
container,container.n.01,rabbit,0.6856977343559265
animal,animal.n.01,stroller,0.6356260776519775
vegetable,vegetable.n.01,rack,0.4646109938621521
sea animal,marine_animal.n.01,aquarium,0.7532088756561279
dessert,dessert.n.01,sheep,0.47185173630714417
fastener,fastener.n.01,crayfish,0.7801738977432251
kitchen equipment,kitchen_appliance.n.01,coil,0.6970359086990356
clothing,clothing.n.01,calf,0.4839644730091095
medical equipment,medical_instrument.n.01,zebra,0.39182883501052856
mammal,mammal.n.01,jam,0.4139857888221741
school supply,school_supply.n.00,zebra,0.5265434384346008
garden tool,garden_tool.n.01,plunger,0.7570891976356506
water vehicle,vessel.n.02,envelope,0.6725894212722778
breakfast,breakfast.n.00,cantaloupe,0.9223781824111938
animal,animal.n.01,chair,0.4536353051662445
container,container.n.01,chain,0.721326470375061
food,food.n.01,book,0.6077538132667542
tool,tool.n.01,rattle,0.6094746589660645
plant,plant.n.02,squash,0.7234772443771362
bird,bird.n.01,squid,0.7060397863388062
garden tool,garden_tool.n.01,spatula,0.7445843815803528
school supply,school_supply.n.00,noodle,0.864365816116333
tool,tool.n.01,swab,0.740975022315979
tool,tool.n.01,clam,0.6015575528144836
vegetable,vegetable.n.01,noodle,0.7872757911682129
container,container.n.01,backscratcher,0.7084984183311462
clothing,clothing.n.01,jug,0.5155659317970276
electronic device,electronic_device.n.01,whisk,0.6601667404174805
electronic device,electronic_device.n.01,banana,0.4162846803665161
clothing,clothing.n.01,patch,0.7059289216995239
tool,tool.n.01,turkey,0.6073611378669739
toy,plaything.n.01,coil,0.7211228609085083
container,container.n.01,honey,0.41804182529449463
furniture,furniture.n.01,stretcher,0.7256140112876892
tool,tool.n.01,lasagna,0.5985634326934814
weapon,weapon.n.01,maple syrup,0.4096011221408844
outerwear,outerwear.n.01,tube top,0.7098198533058167
mammal,mammal.n.01,cockroach,0.6586563587188721
office supply,office_supply.n.00,latch,0.9172189235687256
tool,tool.n.01,hairbrush,0.5961317420005798
mammal,mammal.n.01,iguana,0.7068789601325989
furniture,furniture.n.01,margarita,0.4248313009738922
musical instrument,musical_instrument.n.01,elephant,0.4049702286720276
fruit,edible_fruit.n.01,pecan,0.7910963296890259
container,container.n.01,bumper,0.6699023246765137
food,food.n.01,bull,0.4296691119670868
fruit,edible_fruit.n.01,bassoon,0.39288991689682007
auto part,auto_part.n.01,rooster,0.4339757561683655
mammal,mammal.n.01,belt buckle,0.44343993067741394
plant,plant.n.02,pot,0.7142508625984192
food,food.n.01,dustpan,0.7027007937431335
furniture,furniture.n.01,nut,0.4430834650993347
seafood,seafood.n.01,aquarium,0.6360993385314941
vehicle,vehicle.n.01,banana split,0.44279375672340393
plant,plant.n.02,coil,0.6873564124107361
weapon,weapon.n.01,punch,0.7052714824676514
plant,plant.n.02,chickpea,0.762959361076355
tool,tool.n.01,orange,0.45173558592796326
food,food.n.01,razor blade,0.6028788089752197
outerwear,outerwear.n.01,dress,0.7252312898635864
container,container.n.01,bus,0.6599614024162292
accessory,accessory.n.01,coil,0.7477627992630005
mammal,mammal.n.01,clam,0.6599031686782837
mammal,mammal.n.01,latch,0.67052161693573
plant,plant.n.02,goose,0.6873946189880371
clothing,clothing.n.01,clam,0.7109663486480713
toiletry,toiletry.n.01,bull,0.3845440149307251
tool,tool.n.01,projector,0.6526767015457153
clothing,clothing.n.01,latch,0.7866952419281006
outerwear,outerwear.n.01,muff,0.7197348475456238
toiletry,toiletry.n.01,dustpan,0.699203372001648
seafood,seafood.n.01,belt buckle,0.3652114272117615
food,food.n.01,car,0.6110869646072388
container,container.n.01,tweezers,0.6555944085121155
plant,plant.n.02,cream cheese,0.44694119691848755
mammal,mammal.n.01,zucchini,0.6698299646377563
clothing,clothing.n.01,chalk,0.7083457708358765
mammal,mammal.n.01,pocket watch,0.44405490159988403
clothing,clothing.n.01,zucchini,0.7247621417045593
medical equipment,medical_instrument.n.01,rooster,0.4215843081474304
school supply,school_supply.n.00,rooster,0.5555593967437744
tool,tool.n.01,jelly bean,0.41996610164642334
container,container.n.01,triangle,0.6501035690307617
food,food.n.01,mitten,0.5076589584350586
animal,animal.n.01,bunkbed,0.46648839116096497
container,container.n.01,bonnet,0.474796324968338
animal,animal.n.01,stool,0.46099406480789185
home decor,interior_decoration.n.01,ski boots,0.39527273178100586
home decor,interior_decoration.n.01,lasagna,0.5940900444984436
food,food.n.01,mirror,0.4552920162677765
electronic device,electronic_device.n.01,cord,0.6085497140884399
vehicle,vehicle.n.01,trident,0.4470886290073395
animal,animal.n.01,banjo,0.48031941056251526
animal,animal.n.01,onion,0.6467829346656799
vehicle,vehicle.n.01,abacus,0.6585072875022888
women's clothing,womens_clothing.n.00,puppy,0.5255675315856934
auto part,auto_part.n.01,dynamite,0.42815732955932617
mammal,mammal.n.01,keg,0.4357534646987915
food,food.n.01,footrest,0.6405240297317505
vegetable,vegetable.n.01,scallop,0.8341633677482605
water vehicle,vessel.n.02,latch,0.666513979434967
seafood,seafood.n.01,zucchini,0.6346038579940796
condiment,condiment.n.01,cantaloupe,0.7453195452690125
fruit,edible_fruit.n.01,margarita,0.41538703441619873
vegetable,vegetable.n.01,fruitcake,0.8043060898780823
tool,tool.n.01,toaster,0.6322146058082581
seafood,seafood.n.01,pocket watch,0.376708447933197
clothing,clothing.n.01,elephant,0.4250802993774414
candy,candy.n.01,pudding,0.7266147136688232
food,food.n.01,rollerblade,0.4509172737598419
jewelry,jewelry.n.01,stretcher,0.6675570607185364
condiment,condiment.n.01,bassoon,0.42580652236938477
clothing,clothing.n.01,kite,0.7135875225067139
vehicle,vehicle.n.01,bassoon,0.42893096804618835
bird,bird.n.01,stool,0.4245308041572571
clothing,clothing.n.01,spear,0.730684757232666
animal,animal.n.01,shortbread,0.4750034213066101
food,food.n.01,rocking chair,0.48347410559654236
dessert,dessert.n.01,highlighter,0.7428542971611023
garden tool,garden_tool.n.01,toolbox,0.7726937532424927
candy,candy.n.01,scallop,0.7300939559936523
weapon,weapon.n.01,rake,0.701836109161377
food,food.n.01,moss,0.4935110807418823
tool,tool.n.01,whisk,0.6766411066055298
tool,tool.n.01,banana,0.4185015559196472
electronic device,electronic_device.n.01,lighter,0.7762683033943176
game,game.n.01,elephant,0.3959383964538574
food,food.n.01,boa,0.49109238386154175
medical equipment,medical_instrument.n.01,dynamite,0.4269893765449524
food,food.n.01,joystick,0.5945104360580444
food,food.n.01,tape recorder,0.49083253741264343
clothing,clothing.n.01,washcloth,0.7290652990341187
seafood,seafood.n.01,elephant,0.36178576946258545
food,food.n.01,water bottle,0.5944461226463318
vegetable,vegetable.n.01,dynamite,0.4791668951511383
furniture,furniture.n.01,bolt,0.7065089344978333
food,food.n.01,bin,0.5109931826591492
mammal,mammal.n.01,jelly bean,0.4457705616950989
clothing,clothing.n.01,jelly bean,0.4972936809062958
food,food.n.01,mandolin,0.4295472502708435
sea animal,marine_animal.n.01,mole,0.752374529838562
electronic device,electronic_device.n.01,rooster,0.37019288539886475
toy,plaything.n.01,bull,0.4454611539840698
furniture,furniture.n.01,envelope,0.7089436054229736
food,food.n.01,tube top,0.7011563777923584
food,food.n.01,machete,0.6095683574676514
sea animal,marine_animal.n.01,brace,0.4480594992637634
livestock,livestock.n.01,latch,0.6639071702957153
toy,plaything.n.01,dustpan,0.7551112174987793
accessory,accessory.n.01,outfit,0.7460368871688843
food,food.n.01,squirrel,0.622258722782135
school supply,school_supply.n.00,prune,0.5697276592254639
container,container.n.01,pickle,0.6852536201477051
office supply,office_supply.n.00,whisk,0.9098642468452454
container,container.n.01,crayfish,0.678119957447052
animal,animal.n.01,chain,0.6916987895965576
fastener,fastener.n.01,coil,0.7910171747207642
fastener,fastener.n.01,chickpea,0.7795764207839966
vehicle,vehicle.n.01,stretcher,0.6940208673477173
food,food.n.01,ivy,0.49567335844039917
tool,tool.n.01,sprouts,0.6055777072906494
garden tool,garden_tool.n.01,bassoon,0.43933048844337463
tool,tool.n.01,zebra,0.39441245794296265
toiletry,toiletry.n.01,tube top,0.6964330673217773
mammal,mammal.n.01,pea,0.6887659430503845
electronic device,electronic_device.n.01,puppy,0.41391289234161377
clothing,clothing.n.01,pea,0.7170316576957703
mammal,mammal.n.01,birthday cake,0.44231128692626953
food,food.n.01,jump rope,0.6099590063095093
vehicle,vehicle.n.01,margarita,0.41115307807922363
tool,tool.n.01,eraser,0.6153454780578613
furniture,furniture.n.01,calf,0.4430656433105469
outerwear,outerwear.n.01,vest,0.7404879927635193
kitchen tool,kitchen_utensil.n.01,cantaloupe,0.7124518156051636
bird,bird.n.01,scoop,0.4223242998123169
animal,animal.n.01,honey,0.43486541509628296
vehicle,vehicle.n.01,router,0.682523250579834
plant,plant.n.02,taffy,0.4493340253829956
tool,tool.n.01,noodle,0.6216775178909302
food,food.n.01,belt,0.49368923902511597
food,food.n.01,hoe,0.5979064702987671
headwear,headdress.n.01,toga,0.7128306031227112
clothing,clothing.n.01,banana,0.47882503271102905
animal,animal.n.01,chips,0.4897519648075104
mammal,mammal.n.01,brace,0.4448058605194092
weapon,weapon.n.01,broom,0.6841634511947632
women's clothing,womens_clothing.n.00,leotard,0.8702748417854309
food,food.n.01,muff,0.6022030115127563
drink,beverage.n.01,cantaloupe,0.7551047205924988
toy,plaything.n.01,mirror,0.4454050362110138
home decor,interior_decoration.n.01,whisk,0.6205415725708008
home decor,interior_decoration.n.01,banana,0.38101547956466675
headwear,headdress.n.01,loincloth,0.6960483193397522
breakfast,breakfast.n.00,pickle,0.9372245669364929
office supply,office_supply.n.00,zebra,0.528780460357666
breakfast,breakfast.n.00,crayfish,0.9268790483474731
food,food.n.01,bison,0.4956015646457672
animal,animal.n.01,bumper,0.6547576189041138
animal,animal.n.01,measuring cup,0.487450510263443
toy,plaything.n.01,footrest,0.737949550151825
vehicle,vehicle.n.01,string cheese,0.4394979178905487
container,container.n.01,swab,0.6680624485015869
office supply,office_supply.n.00,noodle,0.8665791749954224
kitchen tool,kitchen_utensil.n.01,highlighter,0.7295887470245361
musical instrument,musical_instrument.n.01,bull,0.42304542660713196
tool,tool.n.01,cornbread,0.4506843686103821
weapon,weapon.n.01,coil,0.7090713977813721
container,container.n.01,turkey,0.6700366735458374
musical instrument,musical_instrument.n.01,dustpan,0.7082561254501343
plant,plant.n.02,puppy,0.4546959400177002
protective clothing,protective_covering.n.01,highlighter,0.6902849674224854
electronic device,electronic_device.n.01,flamingo,0.4280838668346405
container,container.n.01,mascara,0.4535543620586395
container,container.n.01,ski boots,0.45858198404312134
container,container.n.01,lasagna,0.6640118360519409
water vehicle,vessel.n.02,whisk,0.6640028953552246
animal,animal.n.01,bus,0.6494537591934204
sea animal,marine_animal.n.01,cane,0.4557804763317108
toiletry,toiletry.n.01,jacket,0.40712976455688477
candy,candy.n.01,jacket,0.4185374975204468
food,food.n.01,t-shirt,0.4730644226074219
sea animal,marine_animal.n.01,chinchilla,0.7325701713562012
protective clothing,protective_covering.n.01,chain,0.6990781426429749
clothing,clothing.n.01,zebra,0.45347505807876587
weapon,weapon.n.01,cream cheese,0.4388125538825989
container,container.n.01,tongs,0.6792750358581543
animal,animal.n.01,tweezers,0.6318180561065674
tool,tool.n.01,ostrich,0.5929045677185059
footwear,footwear.n.01,underwear,0.8095833659172058
animal,animal.n.01,triangle,0.6241185069084167
animal,animal.n.01,bonnet,0.48109954595565796
school supply,school_supply.n.00,sheep,0.564870297908783
food,food.n.01,stained glass,0.5047663450241089
insect,insect.n.01,mole,0.6657353639602661
food,food.n.01,fly,0.4776870012283325
furniture,furniture.n.01,latch,0.7236966490745544
tool,tool.n.01,perfume,0.44579941034317017
electronic device,electronic_device.n.01,spatula,0.6340494155883789
tool,tool.n.01,rooster,0.40745246410369873
animal,animal.n.01,guacamole,0.47458416223526
breakfast,breakfast.n.00,stiletto,0.5541439652442932
food,food.n.01,bench,0.500374972820282
water vehicle,vessel.n.02,zebra,0.3869491219520569
mammal,mammal.n.01,cane,0.4412235617637634
jewelry,jewelry.n.01,calf,0.38340890407562256
outerwear,outerwear.n.01,margarita,0.40294867753982544
animal,animal.n.01,computer,0.6307006478309631
vehicle,vehicle.n.01,bolt,0.6716347932815552
home decor,interior_decoration.n.01,outfit,0.5920529365539551
food,food.n.01,moose,0.4920611083507538
plant,plant.n.02,mandolin,0.43853306770324707
container,container.n.01,coaster,0.6796337366104126
garden tool,garden_tool.n.01,crank,0.7324732542037964
office supply,office_supply.n.00,rooster,0.5551755428314209
tool,tool.n.01,puppy,0.4171435236930847
food,food.n.01,burner,0.5975830554962158
dessert,dessert.n.01,pickle,0.771268904209137
dessert,dessert.n.01,crayfish,0.7588736414909363
vehicle,vehicle.n.01,tea,0.4293733239173889
headwear,headdress.n.01,strawberry,0.4204767644405365
furniture,furniture.n.01,elephant,0.41067978739738464
seafood,seafood.n.01,cane,0.3630214333534241
food,food.n.01,penlight,0.4872798025608063
sea animal,marine_animal.n.01,frog,0.7171951532363892
footwear,footwear.n.01,elephant,0.4325776994228363
animal,animal.n.01,grenade,0.48037758469581604
food,food.n.01,bulldozer,0.5959500074386597
animal,animal.n.01,go-kart,0.6251338720321655
game,game.n.01,bull,0.40724077820777893
game,game.n.01,dustpan,0.6713606119155884
tool,tool.n.01,dynamite,0.4312603175640106
auto part,auto_part.n.01,crow,0.4427066743373871
office supply,office_supply.n.00,puppy,0.5476499199867249
animal,animal.n.01,pickle,0.6746411323547363
clothing,clothing.n.01,bee,0.5153520107269287
animal,animal.n.01,wheelbarrow,0.617831826210022
musical instrument,musical_instrument.n.01,tube top,0.7029284238815308
fastener,fastener.n.01,puppy,0.5192294716835022
animal,animal.n.01,robot,0.644461452960968
vehicle,vehicle.n.01,jam,0.4467931389808655
bird,bird.n.01,maple syrup,0.41850417852401733
auto part,auto_part.n.01,duckling,0.4339849352836609
medical equipment,medical_instrument.n.01,stool,0.43672651052474976
sea animal,marine_animal.n.01,dynamite,0.4548439085483551
container,container.n.01,whisk,0.7191743850708008
home decor,interior_decoration.n.01,rooster,0.3748505115509033
container,container.n.01,banana,0.47452330589294434
furniture,furniture.n.01,jelly bean,0.44548171758651733
animal,animal.n.01,staple gun,0.4908434748649597
vegetable,vegetable.n.01,stool,0.470853716135025
tool,tool.n.01,prune,0.411225825548172
mammal,mammal.n.01,scallop,0.7007333040237427
animal,animal.n.01,lingerie,0.4834599494934082
electronic device,electronic_device.n.01,creme brulee,0.4126718044281006
clothing,clothing.n.01,scallop,0.747904896736145
tool,tool.n.01,hearing aid,0.6290698647499084
clothing,clothing.n.01,peanut butter,0.5121796131134033
mammal,mammal.n.01,frog,0.7411168813705444
weapon,weapon.n.01,taffy,0.44488272070884705
jewelry,jewelry.n.01,latch,0.6601758003234863
mammal,mammal.n.01,test tube,0.4446979761123657
electronic device,electronic_device.n.01,chariot,0.6017256379127502
clothing,clothing.n.01,test tube,0.5062621831893921
food,food.n.01,hourglass,0.49756675958633423
home decor,interior_decoration.n.01,puppy,0.3827163577079773
dessert,dessert.n.01,turkey,0.7486053109169006
seafood,seafood.n.01,mirror,0.36073076725006104
livestock,livestock.n.01,chinchilla,0.6639498472213745
animal,animal.n.01,rattle,0.6254900693893433
animal,animal.n.01,bomb,0.48825371265411377
auto part,auto_part.n.01,chain,0.6862555742263794
dessert,dessert.n.01,ski boots,0.4718519151210785
food,food.n.01,cape,0.4599376916885376
fruit,edible_fruit.n.01,elephant,0.38764986395835876
animal,animal.n.01,swab,0.6521729230880737
mammal,mammal.n.01,dynamite,0.4495641589164734
breakfast,breakfast.n.00,chickpea,0.9161049723625183
clothing,clothing.n.01,dynamite,0.49225470423698425
tool,tool.n.01,lemonade,0.4279371500015259
food,food.n.01,rearview mirror,0.43779456615448
seafood,seafood.n.01,test tube,0.3602781891822815
toiletry,toiletry.n.01,crow,0.4323856234550476
tool,tool.n.01,generator,0.607459545135498
food,food.n.01,stretcher,0.6946150064468384
musical instrument,musical_instrument.n.01,jacket,0.44120657444000244
food,food.n.01,leech,0.640209436416626
tool,tool.n.01,slicer,0.6352831125259399
animal,animal.n.01,poinsettia,0.6194024085998535
outerwear,outerwear.n.01,envelope,0.6951133012771606
weapon,weapon.n.01,puppy,0.41764023900032043
tool,tool.n.01,raspberry,0.4452393651008606
breakfast,breakfast.n.00,goose,0.9108418226242065
container,container.n.01,brake,0.47721993923187256
home decor,interior_decoration.n.01,costume,0.6763986349105835
animal,animal.n.01,mascara,0.45640942454338074
kitchen equipment,kitchen_appliance.n.01,trident,0.42597725987434387
animal,animal.n.01,ski boots,0.45947688817977905
animal,animal.n.01,lasagna,0.6652653217315674
medical equipment,medical_instrument.n.01,highlighter,0.7009141445159912
mammal,mammal.n.01,tube top,0.6891556978225708
container,container.n.01,noodle,0.6679293513298035
jewelry,jewelry.n.01,elephant,0.37099504470825195
toiletry,toiletry.n.01,duckling,0.409479022026062
food,food.n.01,skewer,0.6067636013031006
fastener,fastener.n.01,mandolin,0.5152755975723267
auto part,auto_part.n.01,honey,0.4143601357936859
clothing,clothing.n.01,hawk,0.5078562498092651
sea animal,marine_animal.n.01,seaweed,0.771213173866272
food,food.n.01,water filter,0.602584958076477
bird,bird.n.01,bat,0.7215641140937805
women's clothing,womens_clothing.n.00,stretcher,0.8640667200088501
clothing,clothing.n.01,prune,0.4811868667602539
medical equipment,medical_instrument.n.01,chain,0.6834583878517151
animal,animal.n.01,tongs,0.6513040065765381
school supply,school_supply.n.00,chain,0.890493631362915
drink,beverage.n.01,pickle,0.7682071328163147
drink,beverage.n.01,crayfish,0.7553588151931763
clothing,clothing.n.01,hearing aid,0.7104238271713257
sea animal,marine_animal.n.01,jacket,0.44013771414756775
electronic device,electronic_device.n.01,trident,0.40475091338157654
office supply,office_supply.n.00,spatula,0.8860565423965454
electronic device,electronic_device.n.01,abacus,0.644787073135376
animal,animal.n.01,coffeemaker,0.4912030100822449
toiletry,toiletry.n.01,rabbit,0.6837923526763916
candy,candy.n.01,rabbit,0.7316687107086182
game,game.n.01,tube top,0.670871376991272
food,food.n.01,sweeper,0.5955129265785217
food,food.n.01,backscratcher,0.6946724653244019
food,food.n.01,trombone,0.48494794964790344
toy,plaything.n.01,abacus,0.7197515964508057
furniture,furniture.n.01,zebra,0.4216831922531128
medical equipment,medical_instrument.n.01,honey,0.4048479497432709
school supply,school_supply.n.00,honey,0.5374380946159363
women's clothing,womens_clothing.n.00,nut,0.5352817177772522
vegetable,vegetable.n.01,honey,0.47691094875335693
food,food.n.01,pinwheel,0.6272751092910767
bird,bird.n.01,catfish,0.7100332379341125
auto part,auto_part.n.01,bus,0.6838304996490479
water vehicle,vessel.n.02,prune,0.3922452926635742
mammal,mammal.n.01,lemonade,0.45281141996383667
toy,plaything.n.01,bassoon,0.442074716091156
animal,animal.n.01,squash,0.6723812222480774
toiletry,toiletry.n.01,backscratcher,0.7054938077926636
animal,animal.n.01,quad,0.6365359425544739
container,container.n.01,ostrich,0.657028317451477
food,food.n.01,drill,0.5952308177947998
mammal,mammal.n.01,jacket,0.4056323766708374
food,food.n.01,bumper,0.6067831516265869
food,food.n.01,measuring cup,0.5009548664093018
vehicle,vehicle.n.01,spear,0.6608026027679443
bird,bird.n.01,cocktail,0.42700937390327454
toiletry,toiletry.n.01,honey,0.4298918545246124
electronic device,electronic_device.n.01,highlighter,0.6702386140823364
fruit,edible_fruit.n.01,brace,0.4238271117210388
plant,plant.n.02,trident,0.4397984743118286
tool,tool.n.01,creme brulee,0.40848156809806824
weapon,weapon.n.01,plunger,0.681842565536499
