premise,conclusion,hypernymy,similarity_raw,similarity_binary,premise_form,conclusion_form
food,pickle,yes,0.7058631777763367,high,food,pickles
food,kite,no,0.6279191374778748,high,food,kites
tool,tiramisu,no,0.44768309593200684,low,tools,tiramisu
outerwear,coverall,yes,0.744680643081665,high,outerwear,coveralls
animal,aardvark,yes,0.6466267108917236,high,animals,aardvarks
plant,lavender,yes,0.6911625266075134,high,plants,lavenders
vegetable,scallop,no,0.8341633677482605,high,vegetables,scallops
electronic device,fan,yes,0.5263068079948425,low,electronic devices,fans
container,jug,yes,0.5977497696876526,low,containers,jugs
container,paper bag,yes,0.689509391784668,high,containers,paper bags
clothing,backscratcher,no,0.7738316059112549,high,clothing,backscratchers
women's clothing,puppy,no,0.5255675315856934,low,women's clothes,puppies
food,boa,no,0.49109238386154175,low,food,boas
outerwear,envelope,no,0.6951133012771606,high,outerwear,envelopes
tool,muff,no,0.6182373762130737,high,tools,muffs
weapon,toast,no,0.44305455684661865,low,weapons,toast
tool,honey,no,0.40979889035224915,low,tools,honey
fastener,lock,yes,0.611192524433136,low,fasteners,locks
clothing,muff,yes,0.7680789828300476,high,clothing,muffs
auto part,rim,yes,0.5875199437141418,high,auto parts,rims
container,bassoon,no,0.4677852392196655,low,containers,bassoons
auto part,dashboard,yes,0.6427786946296692,high,auto parts,dashboards
container,glass,yes,0.6245120763778687,low,containers,glasses
drink,zebra,no,0.43353867530822754,low,drinks,zebras
clothing,pantsuit,yes,0.7038653492927551,high,clothing,pantsuits
plant,lettuce,yes,0.789339542388916,high,plants,lettuce
food,snack,yes,0.6331308484077454,high,food,snacks
breakfast,noodle,no,0.9380196928977966,high,breakfasts,noodles
tool,machete,no,0.6191431283950806,high,tools,machetes
home decor,highlighter,no,0.6335234642028809,high,home decor,highlighters
clothing,shorts,yes,0.6608332991600037,low,clothing,shorts
electronic device,stiletto,no,0.41788357496261597,low,electronic devices,stilettoes
food,chessboard,no,0.49300092458724976,low,food,chessboards
condiment,sauce,yes,0.7992417812347412,high,condiments,sauces
vegetable,clam,no,0.8022000789642334,high,vegetables,clams
vegetable,mirror,no,0.4312211871147156,low,vegetables,mirrors
food,strawberry,yes,0.4791095554828644,low,food,strawberries
vehicle,string cheese,no,0.4394979178905487,low,vehicles,string cheese
container,piggy bank,yes,0.5922317504882812,low,containers,piggy banks
vehicle,police car,yes,0.6756181716918945,high,vehicles,police cars
food,water filter,no,0.602584958076477,high,food,water filters
mammal,crayfish,no,0.7425512075424194,high,mammals,crayfish
tool,polisher,yes,0.6218307018280029,high,tools,polishers
tool,pitcher,no,0.597608745098114,high,tools,pitchers
food,stove,no,0.6134284734725952,high,food,stoves
food,berry,yes,0.5805672407150269,high,food,berries
animal,machete,no,0.6226377487182617,low,animals,machetes
clothing,nut,no,0.47307032346725464,low,clothing,nuts
tool,lectern,no,0.6025463938713074,high,tools,lecterns
food,syrup,yes,0.542466938495636,low,food,syrups
vehicle,bulldozer,yes,0.614453911781311,low,vehicles,bulldozers
tool,wrench,yes,0.6382100582122803,high,tools,wrenches
fastener,dustpan,no,0.806346595287323,high,fasteners,dustpans
container,petri dish,yes,0.5922375917434692,low,containers,petri dishes
fastener,honey,no,0.4820476770401001,low,fasteners,honey
animal,tick,yes,0.6025046110153198,low,animals,ticks
plant,crayfish,no,0.692397952079773,high,plants,crayfish
accessory,envelope,no,0.7527917623519897,high,accessories,envelopes
animal,pea,no,0.6819500923156738,high,animals,peas
dessert,whipped cream,yes,0.5867027640342712,low,desserts,whipped cream
clothing,bikini,yes,0.5659191608428955,low,clothing,bikinis
mammal,iguana,no,0.7068789601325989,high,mammals,iguanas
food,nut,yes,0.4987128973007202,low,food,nuts
animal,wrap,no,0.48302674293518066,low,animals,wrap
animal,walrus,yes,0.6424691677093506,high,animals,walruses
container,footbath,yes,0.6065961718559265,low,containers,footbaths
food,candy bar,yes,0.5674880743026733,low,food,candy bars
container,saltshaker,yes,0.6048663854598999,low,containers,saltshakers
office supply,spatula,no,0.8860565423965454,high,office supplies,spatulas
mammal,mandolin,no,0.4412604570388794,low,mammals,mandolins
container,zebra,no,0.4426337480545044,low,containers,zebras
mammal,keg,no,0.4357534646987915,low,mammals,kegs
garden tool,backscratcher,no,0.7195644378662109,high,garden tools,backscratchers
tool,blowtorch,yes,0.5646239519119263,low,tools,blowtorches
clothing,fur coat,yes,0.6298986077308655,low,clothing,fur coats
mammal,leech,no,0.688132643699646,high,mammals,leeches
fruit,orange,yes,0.6230269074440002,low,fruits,oranges
medical equipment,defibrillator,yes,0.572263240814209,low,medical equipment,defibrillators
food,bowl,no,0.607799768447876,high,food,bowls
protective clothing,rooster,no,0.4047943353652954,low,protective clothing,roosters
food,scallop,yes,0.7212048768997192,high,food,scallops
tool,noisemaker,no,0.5917468070983887,high,tools,noisemakers
animal,jacket,no,0.4323682487010956,low,animals,jackets
tool,pencil sharpener,yes,0.5980855226516724,high,tools,pencil sharpeners
food,rope,no,0.5102120637893677,low,food,ropes
animal,rack,no,0.46702519059181213,low,animals,racks
insect,frog,no,0.6411154866218567,low,insects,frogs
electronic device,jukebox,yes,0.5767392516136169,high,electronic devices,jukeboxes
headwear,chain,no,0.6994247436523438,high,headwear,chains
food,rabbit,yes,0.7378026247024536,high,food,rabbits
food,doghouse,no,0.6019753217697144,high,food,doghouses
fruit,pear,yes,0.6733748316764832,high,fruits,pears
furniture,calf,no,0.4430656433105469,low,furniture,calves
plant,arugula,yes,0.6525431871414185,high,plants,arugula
food,wafer,yes,0.568687379360199,low,food,wafers
office supply,bolt,no,0.912151575088501,high,office supplies,bolts
headwear,hood,yes,0.950480580329895,high,headwear,hoods
condiment,gravy,yes,0.7700392007827759,high,condiments,gravy
tool,sheep,no,0.4481883943080902,low,tools,sheeps
container,rearview mirror,no,0.4636033773422241,low,containers,rearview mirrors
office supply,rooster,no,0.5551755428314209,low,office supplies,roosters
office supply,duckling,no,0.5404752492904663,low,office supplies,ducklings
animal,chips,no,0.4897519648075104,low,animals,chips
toy,chain,no,0.737555742263794,high,toys,chains
vehicle,golf cart,yes,0.6236042976379395,low,vehicles,golf carts
candy,lollipop,yes,0.661014199256897,low,candy,lollipops
electronic device,hotplate,yes,0.559162974357605,low,electronic devices,hotplates
electronic device,washing machine,yes,0.5886207818984985,high,electronic devices,washing machines
plant,mandolin,no,0.43853306770324707,low,plants,mandolins
mammal,taco,no,0.4410916268825531,low,mammals,tacos
animal,coyote,yes,0.5837571024894714,low,animals,coyotes
food,sandwich,yes,0.5752065777778625,low,food,sandwiches
sea animal,koala,no,0.714643120765686,low,sea animals,koalas
protective clothing,glove,yes,0.5912435054779053,low,protective clothing,gloves
food,calamari,yes,0.5491679906845093,low,food,calamari
tool,flyswatter,yes,0.5811433792114258,low,tools,flyswatters
medical equipment,coil,no,0.6849745512008667,high,medical equipment,coils
animal,dalmatian,yes,0.6712747812271118,high,animals,dalmatians
vegetable,zucchini,yes,0.8319346904754639,high,vegetables,zucchini
food,grits,yes,0.5844348073005676,high,food,grits
seafood,calamari,yes,0.5901311039924622,low,seafood,calamari
food,footbath,no,0.6038856506347656,high,food,footbaths
container,bonnet,no,0.474796324968338,low,containers,bonnets
animal,rifle,no,0.48426300287246704,low,animals,rifles
vehicle,whisk,no,0.6765305995941162,high,vehicles,whisks
food,tupperware,no,0.6151993870735168,high,food,tupperware
medical equipment,gauze,yes,0.5999184250831604,high,medical equipment,gauzes
bird,rabbit,no,0.6819239854812622,low,birds,rabbits
food,spatula,no,0.6512148380279541,high,food,spatulas
vehicle,dirt bike,yes,0.6016932129859924,low,vehicles,dirt bikes
sea animal,snail,yes,0.6533936262130737,low,sea animals,snails
women's clothing,bra,yes,0.8663711547851562,high,women's clothes,bras
tool,anvil,yes,0.605300784111023,high,tools,anvils
tool,clam,no,0.6015575528144836,high,tools,clams
footwear,dress,no,0.8296442031860352,high,footwear,dresses
musical instrument,highlighter,no,0.7094734907150269,high,musical instruments,highlighters
animal,bear,yes,0.61625075340271,low,animals,bears
vehicle,car,yes,0.7530426979064941,high,vehicles,cars
home decor,fly,no,0.3974585235118866,low,home decor,flies
weapon,boomerang,yes,0.5998110175132751,low,weapons,boomerangs
condiment,applesauce,yes,0.6658647060394287,high,condiments,applesauce
vegetable,spaghetti,no,0.7732574939727783,high,vegetables,spaghetti
weapon,rake,no,0.701836109161377,high,weapons,rakes
tool,ratchet,yes,0.5703407526016235,low,tools,ratchets
office supply,thumbtack,yes,0.8601170182228088,high,office supplies,thumbtacks
weapon,highlighter,no,0.7068957090377808,high,weapons,highlighters
clothing,cream cheese,no,0.5097779631614685,low,clothing,cream cheese
medical equipment,eyedropper,yes,0.5927374362945557,high,medical equipment,eyedroppers
electronic device,generator,yes,0.9229279160499573,high,electronic devices,generators
tool,pickax,yes,0.6405364274978638,high,tools,pickaxes
animal,dragonfly,yes,0.6406794190406799,high,animals,dragonflies
vegetable,cilantro,yes,0.7043472528457642,low,vegetables,cilantro
container,cage,yes,0.6749778985977173,high,containers,cages
tool,magnifying glass,yes,0.5421562194824219,low,tools,magnifying glasses
vegetable,turkey,no,0.7944936752319336,high,vegetables,turkeys
electronic device,stretcher,no,0.640921413898468,high,electronic devices,stretchers
sea animal,stingray,yes,0.6597707867622375,low,sea animals,stingrays
headwear,sombrero,yes,0.6794762015342712,low,headwear,sombreros
tool,funnel,yes,0.6805203557014465,high,tools,funnels
home decor,doily,yes,0.5409152507781982,high,home decor,doilies
food,underwear,no,0.5996670722961426,high,food,underwear
tool,apple,no,0.4403461515903473,low,tools,apples
food,bongo,no,0.4869844913482666,low,food,bongos
animal,hotdog,no,0.6329900622367859,high,animals,hotdogs
jewelry,locket,yes,0.691592812538147,high,jewelry,lockets
clothing,bull,no,0.45344823598861694,low,clothing,bulls
food,mussel,yes,0.690955638885498,high,food,mussels
animal,robot,no,0.644461452960968,high,animals,robots
clothing,apple,no,0.501234233379364,low,clothing,apples
food,hash,yes,0.5679448843002319,low,food,hash browns
auto part,taillight,yes,0.6105579137802124,high,auto parts,taillights
clothing,bassoon,no,0.4700804650783539,low,clothing,bassoons
food,grain,yes,0.7505521774291992,high,food,grains
tool,rabbit,no,0.619231641292572,high,tools,rabbits
food,star fruit,yes,0.5297492742538452,low,food,star fruits
food,elephant,no,0.4093339741230011,low,food,elephants
clothing,stockings,yes,0.6528213024139404,low,clothing,stockings
condiment,jam,yes,0.569736123085022,low,condiments,jams
medical equipment,highlighter,no,0.7009141445159912,high,medical equipment,highlighters
outerwear,undershirt,no,0.7404879927635193,high,outerwear,undershirts
fastener,tape,yes,0.6502999067306519,low,fasteners,tapes
toy,cantaloupe,no,0.7194496393203735,high,toys,cantaloupes
school supply,coil,no,0.8955267667770386,high,school supplies,coils
vehicle,wagon,yes,0.6776755452156067,high,vehicles,wagons
sea animal,mussel,yes,0.7493667602539062,high,sea animals,mussels
kitchen tool,highlighter,no,0.7295887470245361,high,kitchen tools,highlighters
tool,stapler,no,0.6165453791618347,high,tools,staplers
fruit,duckling,no,0.4202442765235901,low,fruits,ducklings
medical equipment,wheelchair,yes,0.5691254138946533,low,medical equipment,wheelchairs
animal,yak,yes,0.6531150341033936,high,animals,yaks
clothing,jeans,yes,0.6608304977416992,low,clothing,jeans
women's clothing,skirt,yes,0.8011245727539062,low,women's clothes,skirts
vegetable,stretcher,no,0.7679335474967957,high,vegetables,stretchers
bird,hawk,yes,0.7155421376228333,high,birds,hawks
musical instrument,trombone,yes,0.65345698595047,low,musical instruments,trombones
kitchen tool,whisk,yes,0.7205879092216492,high,kitchen tools,whisks
women's clothing,bull,no,0.5129475593566895,low,women's clothes,bulls
school supply,honey,no,0.5374380946159363,low,school supplies,honey
tool,coyote,no,0.4477754235267639,low,tools,coyotes
auto part,coil,no,0.689414918422699,high,auto parts,coils
clothing,bulletproof vest,yes,0.6817782521247864,low,clothing,bulletproof vests
dessert,mirror,no,0.45947298407554626,low,desserts,mirrors
animal,vulture,yes,0.570537805557251,low,animals,vultures
electronic device,lighter,no,0.7762683033943176,high,electronic devices,lighter
kitchen tool,zebra,no,0.4059218764305115,low,kitchen tools,zebras
breakfast,stiletto,no,0.5541439652442932,low,breakfasts,stilettoes
office supply,envelope,yes,0.9012345671653748,high,office supplies,envelopes
school supply,noodle,no,0.864365816116333,high,school supplies,noodles
electronic device,cream cheese,no,0.4221799373626709,low,electronic devices,cream cheese
clothing,eye patch,yes,0.6409386396408081,low,clothing,eye patches
school supply,pencil sharpener,yes,0.8351818919181824,high,school supplies,pencil sharpeners
food,rattle,no,0.6205343008041382,high,food,rattles
vegetable,green beans,yes,0.676438570022583,low,vegetables,green beans
container,aquarium,yes,0.6482439041137695,high,containers,aquariums
breakfast,croissant,yes,0.8098027110099792,high,breakfasts,croissants
kitchen equipment,rabbit,no,0.6999976634979248,high,kitchen equipment,rabbits
tool,whipped cream,no,0.42788398265838623,low,tools,whipped cream
medical equipment,mixer,no,0.6995564699172974,high,medical equipment,mixers
animal,hearing aid,no,0.6373974084854126,high,animals,hearing aids
tool,pen,yes,0.5621219873428345,low,tools,pens
vehicle,hearing aid,no,0.6419146060943604,high,vehicles,hearing aids
kitchen equipment,toaster,yes,0.9472416639328003,high,kitchen equipment,toasters
mammal,pineapple,no,0.6714404821395874,high,mammals,pineapples
tool,jelly bean,no,0.41996610164642334,low,tools,jelly beans
food,squirrel,no,0.622258722782135,high,food,squirrels
office supply,dustpan,no,0.9132122993469238,high,office supplies,dustpans
furniture,coil,no,0.7030495405197144,high,furniture,coils
weapon,brass knuckles,yes,0.6441656351089478,high,weapons,brass knuckles
tool,rolling pin,yes,0.5484157800674438,low,tools,rolling pins
weapon,router,no,0.7027764320373535,high,weapons,routers
clothing,dynamite,no,0.49225470423698425,low,clothing,dynamites
food,water heater,no,0.6151003241539001,high,food,water heaters
livestock,chariot,no,0.6776224374771118,high,livestocks,chariots
garden tool,wheelbarrow,no,0.7504661083221436,high,garden tools,wheelbarrows
kitchen equipment,microwave,yes,0.6799294948577881,high,kitchen equipment,microwaves
food,flyswatter,no,0.593006432056427,high,food,flyswatters
tool,hammer,yes,0.6382323503494263,high,tools,hammers
musical instrument,calf,no,0.4450981914997101,low,musical instruments,calves
furniture,rocking chair,yes,0.5926159620285034,low,furniture,rocking chairs
home decor,bonsai,yes,0.46462589502334595,low,home decor,bonsai
electronic device,toast,no,0.42042696475982666,low,electronic devices,toast
plant,highlighter,no,0.6832345724105835,high,plants,highlighters
medical equipment,stiletto,no,0.4252263903617859,low,medical equipment,stilettoes
clothing,stretcher,no,0.7922652959823608,high,clothing,stretchers
vehicle,apple,no,0.4277269244194031,low,vehicles,apples
medical equipment,scalpel,yes,0.6031556129455566,high,medical equipment,scalpels
breakfast,cantaloupe,no,0.9223781824111938,high,breakfasts,cantaloupes
protective clothing,mandolin,no,0.4091653525829315,low,protective clothing,mandolins
food,spear,no,0.6196957230567932,high,food,spears
mammal,ram,yes,0.5797898769378662,low,mammals,rams
breakfast,rabbit,no,0.9264763593673706,high,breakfasts,rabbits
kitchen tool,margarita,no,0.44038403034210205,low,kitchen tools,margaritas
electronic device,videogame,no,0.6210483908653259,high,electronic devices,videogames
kitchen equipment,mirror,no,0.4378418028354645,low,kitchen equipment,mirrors
insect,squid,no,0.6348546743392944,low,insects,squids
candy,candy bar,yes,0.8278682231903076,high,candy,candy bars
container,water heater,yes,0.6169373989105225,low,containers,water heaters
animal,nut,no,0.4763064682483673,low,animals,nuts
dessert,banjo,no,0.4853110909461975,low,desserts,banjoes
mammal,skunk,yes,0.7069145441055298,high,mammals,skunks
fastener,whisk,no,0.8033509254455566,high,fasteners,whisks
tool,pliers,yes,0.6417620182037354,high,tools,pliers
animal,envelope,no,0.6841148734092712,high,animals,envelopes
kitchen tool,stove,no,0.8115870952606201,high,kitchen tools,stoves
mammal,lobster,no,0.7113355994224548,high,mammals,lobsters
animal,chair,no,0.4536353051662445,low,animals,chairs
livestock,ram,yes,0.5736024379730225,low,livestocks,rams
container,toast,no,0.45207226276397705,low,containers,toast
weapon,flamethrower,yes,0.6503150463104248,high,weapons,flamethrowers
fruit,bassoon,no,0.39288991689682007,low,fruits,bassoons
clothing,patch,no,0.7059289216995239,high,clothing,patches
musical instrument,backscratcher,no,0.6938750743865967,high,musical instruments,backscratchers
auto part,tube top,no,0.6980797648429871,high,auto parts,tube tops
protective clothing,puppy,no,0.4034314751625061,low,protective clothing,puppies
food,plunger,no,0.5934336185455322,high,food,plungers
women's clothing,tiara,yes,0.8103335499763489,high,women's clothes,tiaras
food,omelet,yes,0.6062701940536499,high,food,omelets
animal,guinea pig,yes,0.6405860781669617,high,animals,guinea pigs
animal,bug,yes,0.66703861951828,high,animals,bugs
food,pear,yes,0.5171231627464294,low,food,pears
fruit,grape,yes,0.6583256721496582,low,fruits,grapes
food,hourglass,no,0.49756675958633423,low,food,hourglasses
kitchen equipment,nut,no,0.4381691515445709,low,kitchen equipment,nuts
food,lettuce,yes,0.5848661661148071,high,food,lettuce
home decor,dustpan,no,0.6294854879379272,high,home decor,dustpans
food,cake,yes,0.6612553596496582,high,food,cakes
auto part,wheel,yes,0.5847452878952026,low,auto parts,wheels
kitchen tool,tongs,yes,0.6035510897636414,low,kitchen tools,tongs
insect,caterpillar,yes,0.6703821420669556,high,insects,caterpillars
mammal,string cheese,no,0.42923682928085327,low,mammals,string cheese
game,hopscotch,yes,0.5664143562316895,low,games,hopscotches
tool,dashboard,no,0.6180368661880493,high,tools,dashboards
dessert,noodle,no,0.7709053158760071,high,desserts,noodles
vegetable,rhubarb,yes,0.7605934143066406,high,vegetables,rhubarbs
food,eagle,no,0.607930064201355,high,food,eagles
animal,frog,yes,0.7013052701950073,high,animals,frogs
toy,rocking horse,yes,0.6345003843307495,low,toys,rocking horses
office supply,binder,yes,0.830030083656311,high,office supplies,binders
food,batter,yes,0.5884559750556946,high,food,batters
clothing,test tube,no,0.5062621831893921,low,clothing,test tubes
auto part,rabbit,no,0.6776334047317505,high,auto parts,rabbits
furniture,tube top,no,0.72710782289505,high,furniture,tube tops
weapon,blowtorch,yes,0.5970921516418457,low,weapons,blowtorches
animal,crab,yes,0.5994646549224854,low,animals,crabs
food,coconut,yes,0.6416066884994507,high,food,coconuts
animal,pumpkin,no,0.6617423295974731,high,animals,pumpkins
electronic device,elephant,no,0.3844340443611145,low,electronic devices,elephants
food,sauerkraut,yes,0.5649908781051636,low,food,sauerkraut
electronic device,bull,no,0.3830114006996155,low,electronic devices,bulls
tool,lasagna,no,0.5985634326934814,high,tools,lasagna
food,bikini,no,0.45093318819999695,low,food,bikinis
headwear,banana,no,0.40379372239112854,low,headwear,bananas
plant,whipped cream,no,0.44191598892211914,low,plants,whipped cream
home decor,scarecrow,yes,0.5454264879226685,high,home decor,scarecrows
animal,jellyfish,yes,0.6439846754074097,high,animals,jellyfish
medical equipment,brace,yes,0.4848015308380127,low,medical equipment,braces
food,burrito,yes,0.5259802341461182,low,food,burritos
breakfast,syrup,yes,0.7749180197715759,low,breakfasts,syrups
tool,tortellini,no,0.43481874465942383,low,tools,tortellini
food,mulberry,yes,0.5298027992248535,low,food,mulberries
breakfast,roll,yes,0.7785441279411316,low,breakfasts,rolls
toiletry,envelope,no,0.6728618144989014,high,toiletries,envelopes
musical instrument,stretcher,no,0.7072484493255615,high,musical instruments,stretchers
tool,air pump,yes,0.5349125862121582,low,tools,air pumps
mammal,manatee,yes,0.6980991959571838,high,mammals,manatees
home decor,green beans,no,0.3921594023704529,low,home decor,green beans
furniture,shelf,yes,0.6042143702507019,low,furniture,shelves
toy,coil,no,0.7211228609085083,high,toys,coils
footwear,moccasin,yes,0.6936703324317932,low,footwear,moccasins
animal,caterpillar,yes,0.638046383857727,high,animals,caterpillars
mammal,rifle,no,0.45087385177612305,low,mammals,rifles
condiment,noodle,no,0.7477320432662964,high,condiments,noodles
tool,duster,yes,0.5390385985374451,low,tools,dusters
seafood,caviar,yes,0.5960365533828735,low,seafood,caviar
food,piecrust,yes,0.5228534936904907,low,food,piecrusts
food,shorts,no,0.5111825466156006,low,food,shorts
clothing,fruitcake,no,0.7097325325012207,high,clothing,fruitcakes
game,calf,no,0.41524529457092285,low,games,calves
school supply,glue,yes,0.727031946182251,low,school supplies,glue
bird,squid,no,0.7060397863388062,high,birds,squids
insect,maggot,no,0.6462377309799194,high,insects,maggots
school supply,bolt,no,0.9038770198822021,high,school supplies,bolts
bird,jam,no,0.43568408489227295,low,birds,jams
headwear,tiara,yes,0.7199597954750061,high,headwear,tiaras
dessert,pie,yes,0.671727180480957,high,desserts,pies
furniture,coffee table,yes,0.6233793497085571,low,furniture,coffee tables
accessory,eye patch,yes,0.612260103225708,low,accessories,eye patches
home decor,stretcher,no,0.6201547384262085,high,home decor,stretchers
vehicle,ambulance,yes,0.6325070858001709,high,vehicles,ambulances
food,kale,yes,0.5263954401016235,low,food,kale
dessert,mousse,yes,0.9156975746154785,high,desserts,mousse
animal,snail,yes,0.6311159133911133,high,animals,snails
animal,rollerblade,no,0.4741305708885193,low,animals,rollerblades
animal,fly,yes,0.5302022099494934,low,animals,flies
clothing,pajamas,yes,0.7093000411987305,high,clothing,pajamas
condiment,soy sauce,yes,0.7161933779716492,high,condiments,soy sauce
animal,turtle,yes,0.5418886542320251,low,animals,turtles
food,spareribs,yes,0.5848057270050049,high,food,spareribs
garden tool,toolbox,no,0.7726937532424927,high,garden tools,toolboxes
toiletry,chain,no,0.68367600440979,high,toiletries,chains
animal,doghouse,no,0.6615351438522339,high,animals,doghouses
